c1,c2,c3,c4,n
-0.53984898328781128,0.0072129992768168449,0.84173101186752319,-0.7256544828414917,58575.0
-0.54179644584655762,0.0043442845344543457,0.84049856662750244,-0.72546815872192383,58474.0
-0.54176169633865356,0.0049225147813558578,0.84051769971847534,-0.72539889812469482,58497.0
-0.54122018814086914,0.0070830895565450191,0.84085112810134888,-0.72566384077072144,58396.0
-0.54135042428970337,0.0077571505680680275,0.84076124429702759,-0.72551137208938599,58426.0
-0.54028606414794922,0.0052780546247959137,0.8414648175239563,-0.72571349143981934,58482.0
-0.54192119836807251,0.0073389573954045773,0.84039723873138428,-0.72545838356018066,58389.0
-0.54205906391143799,0.0063209496438503265,0.84031659364700317,-0.72533988952636719,58421.0
-0.54147970676422119,0.0057186372578144073,0.8406943678855896,-0.72555768489837646,58469.0
-0.54187017679214478,0.0040338477119803429,0.84045255184173584,-0.72538435459136963,58421.0
-0.54251670837402344,0.0048534926027059555,0.84003102779388428,-0.72505128383636475,51134.0
-0.54209548234939575,0.003788612550124526,0.84030836820602417,-0.72529679536819458,51155.0
-0.54316818714141846,0.0048011899925768375,0.83961015939712524,-0.72493517398834229,51127.0
-0.54193383455276489,0.010101573541760445,0.84036040306091309,-0.7252013087272644,51123.0
-0.54307228326797485,-4.1564606362953782e-05,0.83968591690063477,-0.72481471300125122,51102.0
-0.54099947214126587,-0.0049368869513273239,0.84100836515426636,-0.72560548782348633,51060.0
-0.5424010157585144,0.0047553945332765579,0.84010624885559082,-0.72508519887924194,51121.0
-0.5432623028755188,0.0040187905542552471,0.83955341577529907,-0.72491693496704102,51085.0
-0.54062831401824951,0.00047366300714202225,0.84126144647598267,-0.72522282600402832,51193.0
-0.54219728708267212,0.010876298882067204,0.84018081426620483,-0.72521573305130005,51133.0
-0.54337126016616821,-0.0047074849717319012,0.83947926759719849,-0.72505033016204834,44620.0
-0.54385024309158325,0.0063914600759744644,0.83915787935256958,-0.72483080625534058,44673.0
-0.54313397407531738,0.0094878915697336197,0.83959245681762695,-0.72482830286026001,44622.0
-0.54271703958511353,0.0026014281902462244,0.83991158008575439,-0.72494697570800781,44717.0
-0.54288595914840698,0.0034490255638957024,0.83979940414428711,-0.72482889890670776,44682.0
-0.54068094491958618,-0.014182868413627148,0.84110808372497559,-0.72539323568344116,44724.0
-0.54337126016616821,0.0056584137491881847,0.8394734263420105,-0.72482877969741821,44679.0
-0.54284965991973877,0.0025416291318833828,0.83982604742050171,-0.7247319221496582,44670.0
-0.54334938526153564,0.0018642781069502234,0.83950453996658325,-0.72492671012878418,44689.0
-0.54370737075805664,0.0026834644377231598,0.83927047252655029,-0.72474145889282227,44668.0
-0.54481369256973267,0.0029312623664736748,0.83855193853378296,-0.72414815425872803,39697.0
-0.54467451572418213,0.0011856626952067018,0.83864670991897583,-0.72451168298721313,39650.0
-0.5401921272277832,0.0039910175837576389,0.84153223037719727,-0.72517704963684082,39752.0
-0.54360276460647583,0.0032566064037382603,0.8393363356590271,-0.72447621822357178,39693.0
-0.54349547624588013,0.0043903128243982792,0.83940064907073975,-0.72464108467102051,39756.0
-0.54191881418228149,0.0045159650035202503,0.84041875600814819,-0.72490930557250977,39769.0
-0.54386305809020996,0.0037385455798357725,0.83916562795639038,-0.72431093454360962,39658.0
-0.54397767782211304,0.0013066811952739954,0.83909863233566284,-0.72445541620254517,39715.0
