a,b,c,d,n
-0.05539219081401825,0.0018214937299489975,0.998462975025177,-0.28171682357788086,345.0
-0.0554518923163414,0.0012954442063346505,0.9984605312347412,-0.28172895312309265,341.0
-0.055423930287361145,0.0017127951141446829,0.9984614253044128,-0.2817226052284241,339.0
-0.055480167269706726,0.0014245201600715518,0.9984588027000427,-0.2817232310771942,343.0
-0.05550314486026764,0.0020866096019744873,0.9984563589096069,-0.2817380726337433,343.0
-0.05560151860117912,0.0018511597299948335,0.9984513521194458,-0.2817186117172241,347.0
-0.05536999553442001,0.0015115576097741723,0.998464822769165,-0.2817392945289612,341.0
-0.05563466623425484,0.0019889299292117357,0.9984492063522339,-0.28172871470451355,350.0
-0.055467769503593445,0.0013136735651642084,0.9984596371650696,-0.2817353904247284,342.0
-0.05521266534924507,0.0016348670469596982,0.9984732270240784,-0.28175055980682373,339.0
-0.055393610149621964,0.001905601704493165,0.9984626770019531,-0.28175145387649536,343.0
-0.047668714076280594,0.000971612986177206,0.9988627433776855,-0.2818957567214966,329.0
-0.04776502773165703,0.0015945745399221778,0.9988572597503662,-0.2818644940853119,333.0
-0.0476829819381237,0.00019259653345216066,0.9988625645637512,-0.2818703055381775,330.0
-0.04759639501571655,0.0011007061693817377,0.998866081237793,-0.28189417719841003,331.0
-0.04761926084756851,0.0010971460724249482,0.9988649487495422,-0.28185755014419556,326.0
-0.0476454421877861,0.000926463573705405,0.9988638758659363,-0.281862735748291,330.0
-0.04768313094973564,0.0006585455848835409,0.9988623857498169,-0.2818645238876343,332.0
-0.047704171389341354,0.001009424333460629,0.9988609552383423,-0.28183090686798096,327.0
-0.0475851446390152,0.0012957295402884483,0.9988663792610168,-0.28187379240989685,328.0
-0.04787599667906761,0.0007796149584464729,0.9988529682159424,-0.28183650970458984,328.0
-0.04764438420534134,0.0008845850825309753,0.9988639950752258,-0.28186190128326416,328.0
-0.04756277799606323,0.0017791655845940113,0.9988667368888855,-0.281880259513855,334.0
-0.04765165224671364,0.001180662540718913,0.9988633394241333,-0.28187793493270874,328.0
-0.0476934015750885,0.0012050596997141838,0.9988613128662109,-0.28185680508613586,327.0
-0.04773544520139694,0.0010196153307333589,0.9988594651222229,-0.2818536162376404,328.0
-0.04772820696234703,0.0011880345409736037,0.9988596439361572,-0.28186020255088806,326.0
-0.047626469284296036,0.0005149042699486017,0.9988650679588318,-0.281848281621933,327.0
-0.04763718321919441,0.0007260856800712645,0.9988644123077393,-0.28187742829322815,333.0
-0.04797011986374855,0.0002015002683037892,0.9988487958908081,-0.281872421503067,334.0
-0.04774533957242966,0.0008190085645765066,0.998859167098999,-0.28185832500457764,332.0
-0.0506257638335228,0.00113040825817734,0.9987170696258545,-0.28061336278915405,338.0
-0.050528764724731445,0.0007020054617896676,0.99872225522995,-0.2806260585784912,331.0
-0.05058930069208145,0.0005506887682713568,0.9987193942070007,-0.280606746673584,336.0
-0.05044453591108322,0.0007590476889163256,0.9987265467643738,-0.28061753511428833,333.0
-0.050456881523132324,0.0004097946803085506,0.9987261295318604,-0.28061527013778687,338.0
-0.050586193799972534,0.0012350303586572409,0.9987189769744873,-0.2805940508842468,335.0
-0.05043499171733856,0.000744141754694283,0.9987270832061768,-0.2806209623813629,334.0
-0.05068041756749153,0.0010153804905712605,0.9987144470214844,-0.28057608008384705,341.0
-0.05051826685667038,0.0012345978757366538,0.9987223744392395,-0.280581533908844,336.0
-0.05050137639045715,0.000662964244838804,0.9987238049507141,-0.2806110382080078,338.0
-0.05051574110984802,0.0012781789992004633,0.9987224340438843,-0.2806352972984314,334.0
-0.05065533518791199,0.0009752704063430429,0.9987157583236694,-0.2806012034416199,340.0
-0.05056561157107353,0.0010136945638805628,0.9987202286720276,-0.2806093394756317,336.0
-0.050493087619543076,0.0013010980328544974,0.9987235069274902,-0.28061753511428833,337.0
-0.05026228353381157,0.001882639480754733,0.9987342953681946,-0.2806721031665802,337.0
-0.05047323927283287,0.0012244336539879441,0.9987246990203857,-0.28062382340431213,334.0
-0.05060601606965065,0.000719115836545825,0.9987183809280396,-0.28061434626579285,340.0
-0.05057049170136452,0.0009136291337199509,0.998720109462738,-0.28063347935676575,332.0
-0.05054295063018799,0.0010176926152780652,0.9987213611602783,-0.28060439229011536,335.0
-0.050591789186000824,0.0006010310025885701,0.9987192153930664,-0.2806049585342407,337.0
-0.04515153542160988,0.0014556978130713105,0.9989790916442871,-0.2784188985824585,350.0
-0.04521435871720314,0.0027522877790033817,0.998973548412323,-0.27842625975608826,353.0
-0.045268021523952484,0.0024794067721813917,0.9989718198776245,-0.2784217596054077,353.0
-0.04519040882587433,0.0014321671333163977,0.9989773631095886,-0.2784114480018616,352.0
-0.0452861487865448,0.0023051491007208824,0.9989713430404663,-0.2784155011177063,352.0
-0.04530908167362213,0.001523054321296513,0.9989718794822693,-0.2784070074558258,351.0
-0.04516877979040146,0.0014813828747719526,0.998978316783905,-0.27840855717658997,353.0
-0.045349664986133575,0.0011062711710110307,0.9989705085754395,-0.2784016728401184,350.0
-0.04499037191271782,0.0020512326154857874,0.9989852905273438,-0.2784171402454376,350.0
-0.045054711401462555,0.0023879169020801783,0.9989816546440125,-0.27845674753189087,350.0
-0.04512697085738182,0.001757261692546308,0.9989796876907349,-0.2783903181552887,353.0
-0.045162007212638855,0.0010232533095404506,0.9989790916442871,-0.27841731905937195,351.0
-0.04514392837882042,0.0021007785107940435,0.9989782571792603,-0.27840104699134827,350.0
-0.0451071634888649,0.002155116992071271,0.9989798665046692,-0.2784307897090912,350.0
